word,head,tail
变色之言,biàn,yán
变名易姓,biàn,xìng
变脸变色,biàn,sè
变醨养瘠,biàn,jí
变幻无穷,biàn,qióng
变幻无常,biàn,cháng
变幻莫测,biàn,cè
变幻不测,biàn,cè
变化无穷,biàn,qióng
变化无常,biàn,cháng
变化如神,biàn,shén
变化莫测,biàn,cè
变化多端,biàn,duān
变化不穷,biàn,qióng
变化不测,biàn,cè
变故易常,biàn,cháng
变古易俗,biàn,sú
变古易常,biàn,cháng
变古乱常,biàn,cháng
变躬迁席,biàn,xí
变风易俗,biàn,sú
变风改俗,biàn,sú
变容改俗,biàn,sú
变色易容,biàn,róng
变本加厉,biàn,lì
变生不测,biàn,cè
便辞巧说,biàn,shuō
抃风儛润,biàn,rùn
抃风舞润,biàn,rùn
辩口利舌,biàn,cí
辩口利辞,biàn,cí
便宜行事,biàn,shì
辩才无阂,biàn,hé
辩才无碍,biàn,ài
辨物居方,biàn,fāng
变动不居,biàn,jū
辨若悬河,biàn,hé
辨日炎凉,biàn,liáng
遍体鳞伤,biàn,shāng
遍地开花,biàn,huā
变颜变色,biàn,sè
变炫无穷,biàn,qióng
变心易虑,biàn,lǜ
变危为安,biàn,ān
变态百出,biàn,chū
变俗易教,biàn,jiào
变生肘腋,biàn,yè
辨如悬河,biàn,hé
摽梅之年,biào,nián
便宜施行,bián,xíng
便宜从事,bián,shì
别具肺肠,bié,cháng
别风淮雨,bié,yǔ
别创一格,bié,gé
别出新意,bié,yì
别出新裁,bié,cái
别出心裁,bié,cái
别出手眼,bié,yǎn
别出机杼,bié,zhù
别财异居,bié,jū
别鹤孤鸾,bié,luán
别抱琵琶,bié,pá
别有人间,bié,jiān
别有天地,bié,dì
别有心肠,bié,cháng
别有心肝,bié,gān
别有用心,bié,xīn
别有滋味,bié,wèi
别置一喙,bié,huì
别作良图,bié,tú
别有风味,bié,wèi
别鹤离鸾,bié,láun
别籍异财,bié,cái
别籍异居,bié,jū
别树一旗,bié,qí
别生枝节,bié,jié
别类分门,bié,mén
别来无恙,bié,yàng
别开一格,bié,gé
别开生面,bié,miàn
别开蹊径,bié,jìng
别具只眼,bié,yǎn
别具一格,bié,gé
别具心肠,bié,cháng
别具手眼,bié,yǎn
别具匠心,bié,xīn
别具慧眼,bié,yǎn
别无二致,bié,zhì
别居异财,bié,cái
别无他物,bié,wù
别有洞天,bié,tiān
别有肺肠,bié,cháng
别有风趣,bié,qù
别作一眼,bié,yǎn
别树一帜,bié,zhì
别无长物,bié,wù
鞭丝帽影,biān,yǐng
鞭约近里,biān,lǐ
鞭擗向里,biān,lǐ
鞭驽策蹇,biān,jiǎn
鞭长莫及,biān,jí
鞭长驾远,biān,yuǎn
鞭长不及,biān,jí
鞭不及腹,biān,fù
鞭长不及马腹,biān,jí
鞭辟向里,biān,lǐ
鞭辟入里,biān,lǐ
鞭辟近里,biān,lǐ
砭庸针俗,biān,sú
边尘不惊,biān,jīng
鞭辟着里,biān,lǐ
标新领异,biāo,yì
膘肥体壮,biāo,zhuàng
标枝野鹿,biāo,lù
飙发电举,biāo,jù
标新竖异,biāo,yì
标新竞异,biāo,yì
标新立异,biāo,yì
标同伐异,biāo,yì
标情夺趣,biāo,qù
彪形大汉,biāo,hàn
彪炳千古,biāo,gǔ
飙举电至,biāo,zhì
标新创异,biāo,yì
变贪厉薄,biǎn,bó
表里相依,biǎo,yī
表里相济,biǎo,jì
表里山河,biǎo,hé
表里为奸,biǎo,jiān
表里相应,biǎo,yìng
表里相符,biǎo,fú
表里一致,biǎo,zhì
表里受敌,biǎo,dí
表壮不如里壮,biǎo,rú
表壮不如理壮,biǎo,rú
表里不一,biǎo,yī
表里如一,biǎo,yī
表面文章,biǎo,zhāng
不随以止,bu,zi
霸陵醉尉,bà,wèi
霸道横行,bà,xíng
霸王别姬,bà,jī
霸王风月,bà,yuè
摆袖却金,bài,jīn
败鳞残甲,bài,jiǎ
败德辱行,bài,xíng
败法乱纪,bài,jì
败鼓之皮,bài,pí
败国丧家,bài,jiā
败国亡家,bài,jiā
败化伤风,bài,fēng
败绩失据,bài,jù
败将残兵,bài,bīng
败井颓垣,bài,yuán
败军之将,bài,jiàng
败柳残花,bài,huā
败事有余，成事不足,bài,yú，chéng
败俗伤风,bài,fēng
败材伤锦,bài,jǐn
败俗伤化,bài,huà
败于垂成,bài,chéng
拜赐之师,bài,shī
拜倒辕门,bài,mén
拜恩私室,bài,shì
拜鬼求神,bài,shén
拜将封侯,bài,hóu
稗官小说,bài,shuō
稗官野史,bài,shǐ
败兴而归,bài,guī
败不旋踵,bài,zhǒng
半部论语治天下,bàn,yǔ
半痴不颠,bàn,diān
